id;title;text;date;link;author;hub;topic
1025576;[Перевод] «За пределами неба» История основателя Hyperliquid Джеффа Яна, переписавшего правила Уолл-стрит из однушки в Пуэрто-Рико;"<img src=""https://habrastorage.org/getpro/habr/upload_files/95a/1ae/b0d/95a1aeb0d832b5aeb0c6dc068bed9519.jpg"" /><p><em>Джефф Ян отказался от ста миллионов долларов, раздал миллиарды незнакомцам и лишился возможности путешествовать без охраны. История о том, как он превратил Hyperliquid — блокчейн и криптовалютную биржу — в самый прибыльный стартап в мире в пересчёте на одного сотрудника.</em></p><p><em>______________________________________________________________________________________________";2026-04-20 14:42:25;https://habr.com/ru/articles/1025576/?utm_campaign=1025576&utm_source=habrahabr&utm_medium=rss;IlyaSamotolkov;cryptocurrency;it_новости
1025084;Замедление Телеграма замедлилось, а также законопроект об уголовной ответственности за крипту в РФ;"<img src=""https://habrastorage.org/getpro/habr/upload_files/556/624/7a0/5566247a033ed352ec5f8829a50f9159.jpg"" /><p>Самые интересные новости финансов и технологий в России и мире за неделю: Боня отстояла российский интернет, рубль усилился до максимума за три года, админов инвестиционных ТГ-каналов арестовали за манипуляции рынком, Anthropic стал угрожать оценке OpenAI, релиз Claude Design, а также рекомендация Дурова слать секьюрные нюдсы.</p> <a href=""https://habr.com/ru/articles/1025084/?utm_c";2026-04-20 04:59:59;https://habr.com/ru/articles/1025084/?utm_campaign=1025084&utm_source=habrahabr&utm_medium=rss;RationalAnswer;cryptocurrency;it_новости
1024840;Защита Bitcoin от квантовых атак или кража денег у Сатоши?;"<img src=""https://habrastorage.org/getpro/habr/upload_files/174/d2e/23f/174d2e23f67a04b94b2ed4289e9d052b.jpg"" /><p><em>На этой неделе крипто-сообщество ведёт ожесточённые споры вокруг </em><strong><em>BIP‑0361</em></strong><em> — предложения, которое может изменить фундаментальные правила владения биткоином. Поводом для обсуждения стала публикация в конце марта технической белой книги Google Quantum AI, которая радикально сдвинула оценку сроков появления квантовой угрозы.</em></p><p><em>Мы изучи";2026-04-17 18:23:12;https://habr.com/ru/articles/1024840/?utm_campaign=1024840&utm_source=habrahabr&utm_medium=rss;BestChange;cryptocurrency;it_новости
1023604;Суверенные криптокошельки и цифровые депозитарии: какой крипторынок ждет Россию;"<img src=""https://habrastorage.org/getpro/habr/upload_files/917/ca0/5e8/917ca05e81a068d91e3269d98e32c92e.png"" /><p>Я честно <a href=""https://habr.com/ru/companies/roskomsvoboda/articles/733846/"" rel=""noopener noreferrer nofollow"">предполагал</a>, что крипту запретят еще в 2022 году.  Вероятно, война и последующий санкционный паралич привычной банковской жизни заставили российские власти отсрочить крипто запреты и дать рынку хоть какую-то возможность проводить расчеты с контрагентами и сотрудника";2026-04-15 01:07:40;https://habr.com/ru/articles/1023604/?utm_campaign=1023604&utm_source=habrahabr&utm_medium=rss;sardarbinyan;cryptocurrency;it_новости
972738;Международный эквайринг vs крипто эквайринг для бизнеса в 2026;"<img src=""https://habrastorage.org/getpro/habr/upload_files/7a5/c1c/941/7a5c1c9410e4ccd9e673c4430d7954c3.jpg"" /><p>Большие перемены в теме международных платежей пришли из США, когда в 2025 были приняты законодательные акты GENIUS и STABLE: принятый Сенатом закон GENIUS разрешает как банкам, так и небанковским организациям выпускать стейблкоины при условии соблюдения ими строгих требований к комплаенс-контролю и резервам. Закон разрешает выпуск стейблкоинов только лицензированным организациям, у";2026-04-14 13:41:21;https://habr.com/ru/articles/972738/?utm_campaign=972738&utm_source=habrahabr&utm_medium=rss;SlavaKulakov;cryptocurrency;it_новости
1022942;Тюрьма за «серый» обмен крипты;"<img src=""https://habrastorage.org/getpro/habr/upload_files/f4f/2f3/394/f4f2f339412f0d53ae36d2cb4ef9da9c.jpg"" /><p>Сегодня, 13 апреля, вышла новость о том, что в Госдуму внесен законопроект о введении в Уголовный кодекс РФ новой статьи 171.7 за незаконный оборот цифровой валюты. Правительственная комиссия по законопроектной деятельности уже официально одобрила этот пакет поправок, что говорит о том, что принятие законопроекта это уже вопрос ближайшего времени.</p><p><strong>Пороги для квалификац";2026-04-13 13:59:33;https://habr.com/ru/articles/1022942/?utm_campaign=1022942&utm_source=habrahabr&utm_medium=rss;strannik96;cryptocurrency;it_новости
1021410;[Перевод] Как я взломал аппаратный криптокошелёк и вернул два миллиона долларов;"<img src=""https://habrastorage.org/getpro/habr/upload_files/227/b7b/fef/227b7bfef8035011d690296dc1b6fb48.jpg"" /><p>Представьте, что у вас есть два миллиона долларов, хранящихся на куске кремния размером с почтовую марку, а пароль от них вы забыли.</p><p>Существует множество разных чипов подобного типа. Аппаратные кошельки предназначены для защиты восстанавливающих доступ строк в мире криптовалют. Однако многие люди забывают свои пароли, а если забыть пароль, то вы не сможете получить доступ к ин";2026-04-13 13:01:32;https://habr.com/ru/companies/ruvds/articles/1021410/?utm_campaign=1021410&utm_source=habrahabr&utm_medium=rss;interpres (RUVDS.com);cryptocurrency;it_новости
1022700;Как украсть миллиард DOT и заработать $237k: разбор эксплойта Hyperbridge;"<img src=""https://habrastorage.org/getpro/habr/upload_files/a97/bcf/7ce/a97bcf7ceb091a023c3acfcaddc15d43.jpg"" /><p>Сегодня ночью кто-то провернул трюк, который выглядит одновременно впечатляюще и грустно. Атакующий отчеканил 1 миллиард бриджевых DOT на Ethereum и тут же слил весь объём в одной транзакции, получив 108,2 ETH — примерно $237 000. Цифра «миллиард токенов» звучит катастрофически. Реальный ущерб — меньше недельного бюджета на рекламу среднего крипто-проекта.</p><p>Разбираемся, что име";2026-04-13 08:08:50;https://habr.com/ru/articles/1022700/?utm_campaign=1022700&utm_source=habrahabr&utm_medium=rss;CIOlogia;cryptocurrency;it_новости
1022328;Приземление нутелловых космонавтов, а также деанон Сатоши Накамото;"<img src=""https://habrastorage.org/getpro/habr/upload_files/1d9/005/3e9/1d90053e9d00b36c54d21a040fff7ec7.jpg"" /><p>Самые интересные новости финансов и технологий в России и мире за неделю: завершилась миссия Artemis II, суды РФ продолжают поощрять бабкину схему, Иран и США помирились (но это неточно), Твиттер сдружил все народы с помощью автоперевода, Сэм Альтман не может перестать врать, а Милла Йовович наконец вкатилась в IT.</p> <a href=""https://habr.com/ru/articles/1022328/?utm_campaign=1022";2026-04-13 05:05:02;https://habr.com/ru/articles/1022328/?utm_campaign=1022328&utm_source=habrahabr&utm_medium=rss;RationalAnswer;cryptocurrency;it_новости
1022562;Blueprint ИИ анализа настроений в новостях;"<img src=""https://habrastorage.org/getpro/habr/upload_files/f69/525/664/f695256640cba1559b15b7ed4a6e2d1e.png"" /><p>🤡<strong> Как контрить шитпостинг Президента США</strong><br /><br />Существующие решения на GitHub имеют фатальные изъяны. Разберём несколько примеров - плюсы и минусы.  </p> <a href=""https://habr.com/ru/articles/1022562/?utm_campaign=1022562&amp;utm_source=habrahabr&amp;utm_medium=rss#habracut"">Читать далее</a>";2026-04-12 15:54:37;https://habr.com/ru/articles/1022562/?utm_campaign=1022562&utm_source=habrahabr&utm_medium=rss;tripolskypetr;cryptocurrency;it_новости
1022132;Криптообменники в Москва-Сити и возможен ли легальный обмен криптовалюты в банках РФ?;"<img src=""https://habrastorage.org/getpro/habr/upload_files/764/f93/98c/764f9398cc5c29e97e73fe6d1f56826e.png"" /><p>В апреле 2026 года криптообменники в России оказались на грани: ещё вчера ""серая зона"", сегодня рынок, который начинают брать под контроль. </p><p>Разбираем: что будет с обменниками в Москве и Москва-Сити, законы и кто адаптируется под них, появятся ли «официальные» точки и возможен ли наконец легальный выход криптовалюты в банки?</p> <a href=""https://habr.com/ru/articles/1022132/?u";2026-04-11 04:59:06;https://habr.com/ru/articles/1022132/?utm_campaign=1022132&utm_source=habrahabr&utm_medium=rss;gvo13;cryptocurrency;it_новости
