id,text,date,likes,reposts,comments,views,url,topic
-196446229_531449,Они жили они как кошка с собакой...,2025-05-23 22:03:04,1492,126,31,53223,https://vk.com/wall-196446229_531449,животные
-196446229_565478,"Он подошел к ней на вокзале, намеренно. Он долго ждал, выбирал, разглядывая пассажиров. Ему приснился сегодня сон – он в каком-то облаке забвения, где тепло, уютно и пахнет домом... 
У него был дом, но потом не стало. Всё хорошее куда-то пропало, потом была соседка, которая подкармливала его иногда... Но он ушел от неё. Ушел в никуда, но только, чтобы больше не питаться подачками. Он – гордый, он – смелый и сильный. Когда-то он был именно таким, в душе таким же и остался. Только обстоятельства ж",2026-04-11 12:00:00,147,6,5,2907,https://vk.com/wall-196446229_565478,животные
-196446229_565340,"У меня когда офис на Дзержинце был, я каждый день на работу и обратно ходил мимо супермаркета. Ну, такой, знаете, типа торговый центр, на первом этаже гастроном, на втором павильончики всякие. А под лестницей на второй этаж притулился малюсенький киоск, корма для животных. Ничем совершенно не примечательный, кроме одного. Там, возле окошка, стояла обувная коробка, на которой от руки было написано — ""На обед Василию"". Или ""Васе на еду"", по разному. Коробки потому что ветшали и менялись, менялась ",2026-04-11 06:00:00,486,28,12,7233,https://vk.com/wall-196446229_565340,животные
-196446229_565159,"Был тихий сентябрьский вечер, воскресенье. Окна, еще раскрытые настежь, впускали приятную прохладу ранней осени. Я писал письмо своей очередной виртуальной подружке и с головой погрузился в красивое словоблудие. От испуга даже уронил клавиатуру с колен. Чертыхнувшись, пошел открывать. В дверь уже настойчиво тарабанили. 
- Кому же так неймется? Кулаки отобьете! 
За дверью стоял соседский пацан Васек. 
- Спрячьте его, а то мать выкинет. Я потом заберу, когда можно будет, - прошептал он, сунув мне ",2026-04-10 18:00:00,270,5,8,5476,https://vk.com/wall-196446229_565159,животные
-196446229_565007,"- А я говорю, иди, - настаивала большая ворона. - Иди, тебе говорю. Я в людях разбираюсь. Эта точно тебя возьмёт. 
 
Но серый грязный кот всё никак не мог решиться. 
 
- Старый я, некрасивый и вообще. Если она захочет, к ней любой котёнок побежит. Видишь, какая хорошая. Каждый раз выносит во двор вкусные кусочки курочки и бездомным котам и собачкам оставляет. Зачем ей такой старик? 
 
Ворона распушила перья и взмахнула крыльями. 
 
- Это совершенно невозможно! С тобой разговаривать просто одно р",2026-04-10 12:00:00,498,28,26,8877,https://vk.com/wall-196446229_565007,животные
-196446229_564849,"Были у нас в гостях как-то близкий друг семьи и его приятель. Всё чинно-благородно, сидят себе нормально, я у плиты. Потом получилось так, что этот приятель активно жестикулируя, что-то рассказывает и задевает сковороду, стоящую на полном огне. 
Далее всё происходило моментально, но попробуйте представить как в замедленной съёмке. 
Сковорода начинает падать на вертящегося у плиты кота, я одной рукой хватаю котика, второй пытаюсь поймать сковородку (что с моей стороны крайне глупо, она же раскалё",2026-04-10 06:00:00,259,2,4,7483,https://vk.com/wall-196446229_564849,животные
-196446229_564690,"Был канун Нового года. 31 декабря. Выходной. Середина дня. За окном была самая настоящая слякоть, и в воздухе ударяясь в стекло мела изморось. Знаете, что такое мелкий противный холодный дождь со снегом? Так вот именно это и было. Я рассталась со со своим мужчиной и встречать праздник было решительно не с кем. 
К родственникам ехать не хотелось. Не хотелось слышать их вопросы о моей жизни, свои ответы, а потом смотреть на их сочувствующие лица. 
На улице и на сердце были заморозки. Так-то, вот. ",2026-04-09 19:35:04,164,1,5,4112,https://vk.com/wall-196446229_564690,животные
-196446229_564671,"Ликвидация мебели в интернет-магазине НОНТОН!

Cуперскидки до 80% на остатки мебели!
Диваны, кресла, столы, комоды и другие товары по рекордно низким ценам — в считанных экземплярах.

Если нашли мебель, которая вам подходит — забирайте сейчас, завтра её может уже не быть — смотрите каталог здесь https://vk.cc/cU1daR!

После продажи последней единицы предложение исчезнет.",2026-04-09 18:35:00,5,3,0,3050,https://vk.com/wall-196446229_564671,животные
-196446229_564562,"Я вообще никогда не любил сфинксов. 
Нет, не египетских сфинксов, а голых, похожих на ночной кошмар, кошек. И жена их тоже не любила. Потому, что они один раз её напугали до дрожи в ногах. Что может быть омерзительнее голой кошки? Только голый кот! 
Как-то раз, приезжаю я на заказ без обратного адреса. Выходит пара: парень и девушка, а на руках у девушки эта гадость лысая. Садятся они, а я спрашиваю: 
— Куда едем, ребята? 
А они отвечают: 
— Да куда-нибудь, подальше. 
Я не понял. Попросил уточни",2026-04-09 13:44:13,453,15,27,8601,https://vk.com/wall-196446229_564562,животные
-196446229_564436,"Лора забралась в высокую траву, легла и забубнила... Ну вот что за жизнь? Из уютного подвала прогнала дворничиха, хлопнув для убедительности по пушистой ""корме"" веником. Но Лора не была бы кошкой, если бы не отомстила. 
 
Поэтому, уворачиваясь между ног от грозного ""оружия"", крепко цапнула женщину за полную и варикозную лодыжку. Долго она еще будет помнить бедную Лорочку! Эх, жаль, что кошки не ядовиты... 
 
Лора побубнила, почесалась, умылась. Все дела на сегодня сделаны, нужно подумать и о ноч",2026-04-09 06:00:00,232,6,5,5492,https://vk.com/wall-196446229_564436,животные
