id;text;date;likes;reposts;comments;views;url;topic
-15755094_48295538;"РИА Новости теперь в MAX!

Мы в центре событий, чтобы вы были в курсе. А теперь вы можете получать главные новости еще быстрее в нашем канале в MAX. Там вас ждут: 

— Срочные сообщения
— Свежие подробности 
— Авторские материалы
— Репортажи наших корреспондентов
— Эксклюзивные видео и инфографика

Все это — уже в вашей ленте. Оперативно. Точно. Достоверно.

Подписывайтесь на РИА Новости в MAX: https://max.ru/ria";2025-07-22 12:42:18;1758;260;126;9388144;https://vk.com/wall-15755094_48295538;новости
-15755094_49949425;"Финн поставил на участке чучело Стубба.
 
Мужчина выпилил из дерева полноразмерную фигуру финского президента. Теперь чучело находится на участке и «вполне хорошо» отпугивает птиц, сообщает газета Ilta-Sanomat.
 
Автор также выставил свое творение на продажу и надеется, что Стубб увидит «скульптуру».
https://vk.cc/cWUFrw";2026-04-20 17:43:14;32;5;13;4757;https://vk.com/wall-15755094_49949425;новости
-15755094_49949300;"Суд заочно приговорил рэпера-иноагента Моргенштерна к штрафу в семь миллионов рублей.
https://vk.cc/cWUzPF";2026-04-20 17:09:21;65;3;34;10134;https://vk.com/wall-15755094_49949300;новости
-15755094_49949186;"Росавиация отменила ограничения на полеты в ОАЭ и через воздушное пространство Ирана, сообщили в Минтрансе.
https://vk.cc/cWUtX8";2026-04-20 16:35:01;43;11;2;19969;https://vk.com/wall-15755094_49949186;новости
-15755094_49949046;"Налетчики прокопали 12-метровый тоннель, чтобы ограбить банк в Неаполе 
 
«Требовалось несколько недель работы. Его копали вручную без использования техники, чтобы не привлекать внимание, возможно, саперными лопатками и граблями», — рассказал РИА Новости геолог Джанлука Минин. 
 
В четверг преступники ворвались в банк, разграбили 40 ячеек для хранения ценностей и скрылись, их до сих пор не поймали.";2026-04-20 16:00:25;84;34;23;17125;https://vk.com/wall-15755094_49949046;новости
-15755094_49949045;"Апрельский снег выпал в центральной России из-за активного циклона. 
 
В Рязанской области высота снежного покрова достигала 12 сантиметров, сообщил синоптик Леус в Telegram-канале. 
 
«Осадки будут ухудшать видимость, на дорогах и тротуарах станет скользко», — добавил он.";2026-04-20 16:00:01;44;29;7;12871;https://vk.com/wall-15755094_49949045;новости
-15755094_49948905;"Партия экс-президента Болгарии Радева набрала 44,5% голосов на парламентских выборах. 
 
Об этом сообщается на сайте ЦИК после подсчета 100% протоколов. 
 
Радев не раз выступал против военной помощи Украине, призывал Европу пересмотреть отношение к спецоперации и вернуться к дипломатии.
https://vk.cc/cWUgBt";2026-04-20 15:31:09;131;9;27;40965;https://vk.com/wall-15755094_49948905;новости
-15755094_49948816;"В твороге «Савушкин продукт» и «Смолевичи Молоко» нашли остатки опасного вещества. 
 
Речь идет о продукте распада антигельминтного препарата альбендазола — он токсичен для человека, рассказали в Россельхознадзоре. 
 
Белорусскую ветеринарную службу предупредили, что нужно принять меры, также усилили лабораторный контроль.
https://vk.cc/cWUbyZ";2026-04-20 15:07:30;149;334;35;68156;https://vk.com/wall-15755094_49948816;новости
-15755094_49948587;"Разлив нефти обнаружили в море у порта Туапсе. 
 
Это последствия атаки БПЛА в ночь на 16 апреля — тогда была повреждена инфраструктура морского терминала, сообщили в оперштабе Краснодарского края. 
 
Площадь нефтяного пятна оценили в 10 тысяч квадратных метров, для локализации выставили боновые заграждения.
https://vk.cc/cWTZqd";2026-04-20 14:07:40;224;333;93;120596;https://vk.com/wall-15755094_49948587;новости
-15755094_49948455;"В Японии объявили эвакуацию после землетрясения магнитудой 7,5.

Она затронет более 156 тысяч человек в префектурах Хоккайдо, Аомори, Иавтэ, Мияги и Фукусима, передает агентство Киодо. 

Также в стране действует угроза цунами: пока что его максимальная высота составила 80 сантиметров.";2026-04-20 13:31:29;98;34;44;28981;https://vk.com/wall-15755094_49948455;новости
